age,Sr,eSr,d13C,ed13C,d34S,ed34S,fR,efR,fL,efL,fA,efA,fA_Godderis,efA_Godderis,fAw_fA,efAw_fA,fAw_fA_Godderis,efAw_fA_Godderis,fD,efD,fD_Godderis,efD_Godderis,RT,eRT,GEOG,eGEOG,GEOG_Godderis,eGEOG_Godderis,fSR,efSR,fC,efC,fHR,efHR,fHRall,efHRall
541,90,2.419794621,0,0.383574975,27.46,0.936205985,1.02692,0.0821536,0.63,0.252,0.855,0.4275,0.991,0.222975,1,0.2,0.8132,0.4066,1.12,0.56,0.56185567,0.126417526,0.0275857774,0.0137928887,0.5,5,-7.323,1.25,1.335,0.233625,0.75,0.16875,0,0,0,0
540,90,2.419794621,0,0.383574975,27.7,0.936205985,1.0272,0.082176,0.63,0.252,0.85,0.425,0.99,0.22275,1,0.2,0.8132,0.4066,1.12,0.56,0.56185567,0.126417526,0.02612829,0.013064145,0.6,5,-7.323,1.25,1.35,0.23625,0.75,0.16875,0,0,0,0
539,89.9,2.419794621,0,0.383574975,28.24,0.9370114725,1.02731,0.0821848,0.672,0.2688,0.831,0.4155,0.9871,0.2220975,1,0.2,0.813915,0.4069575,1.12,0.56,0.5683141297,0.1278706794,0.0263860895,0.0131930448,0.6,5,-7.19055,1.25,1.374,0.24045,0.75,0.16875,0,0,0,0
538,89.8,2.419794621,0,0.383574975,28.78,0.93781696,1.02742,0.0821936,0.714,0.2856,0.812,0.406,0.9842,0.221445,1,0.2,0.81463,0.407315,1.12,0.56,0.5747725894,0.1293238328,0.026643889,0.0133219446,0.6,5,-7.0581,1.25,1.398,0.24465,0.75,0.16875,0,0,0,0
537,89.7,2.419794621,0,0.383574975,29.32,0.9386224475,1.02753,0.0822024,0.756,0.3024,0.793,0.3965,0.9813,0.2207925,1,0.2,0.815345,0.4076725,1.12,0.56,0.5812310491,0.1307769862,0.0269016885,0.0134508444,0.6,5,-6.92565,1.25,1.422,0.24885,0.75,0.16875,0,0,0,0
536,89.6,2.419794621,0,0.383574975,29.86,0.939427935,1.02764,0.0822112,0.798,0.3192,0.774,0.387,0.9784,0.22014,1,0.2,0.81606,0.40803,1.12,0.56,0.5876895088,0.1322301396,0.027159488,0.0135797442,0.6,5,-6.7932,1.25,1.446,0.25305,0.75,0.16875,0,0,0,0
535,89.5,2.419794621,0,0.383574975,30.4,0.9402334225,1.02775,0.08222,0.84,0.336,0.755,0.3775,0.9755,0.2194875,1,0.2,0.816775,0.4083875,1.12,0.56,0.5941479685,0.133683293,0.0274172875,0.013708644,0.6,5,-6.66075,1.25,1.47,0.25725,0.75,0.16875,0,0,0,0
534,89.4,2.419794621,0,0.383574975,30.94,0.94103891,1.02786,0.0822288,0.882,0.3528,0.736,0.368,0.9726,0.218835,1,0.2,0.81749,0.408745,1.12,0.56,0.6006064282,0.1351364464,0.027675087,0.0138375438,0.6,5,-6.5283,1.25,1.494,0.26145,0.75,0.16875,0,0,0,0
533,89.3,2.419794621,0,0.383574975,31.48,0.9418443975,1.02797,0.0822376,0.924,0.3696,0.717,0.3585,0.9697,0.2181825,1,0.2,0.818205,0.4091025,1.12,0.56,0.6070648879,0.1365895998,0.0279328865,0.0139664436,0.6,5,-6.39585,1.25,1.518,0.26565,0.75,0.16875,0,0,0,0
532,89.2,2.419794621,0,0.383574975,32.02,0.942649885,1.02808,0.0822464,0.966,0.3864,0.698,0.349,0.9668,0.21753,1,0.2,0.81892,0.40946,1.12,0.56,0.6135233476,0.1380427532,0.028190686,0.0140953434,0.6,5,-6.2634,1.25,1.542,0.26985,0.75,0.16875,0,0,0,0
